23.05.2025,instrumentType,expiryDate,optionType,strikePrice,openPrice,highPrice,lowPrice,closePrice,volume,name,token
26000Put,Index Options,29-May-2025,Put,26000,1353.65,1365.0,1041.2,1127.55,1663,NIFTY29MAY2526000PE,61802
24250Call,Index Options,29-May-2025,Call,24250,480.0,745.2,452.0,665.75,1209,NIFTY29MAY2524250CE,61673
23500Call,Index Options,29-May-2025,Call,23500,1170.05,1470.9,1155.95,1385.0,973,NIFTY29MAY2523500CE,61545
22500Call,Index Options,29-May-2025,Call,22500,2165.05,2456.0,2151.0,2381.05,824,NIFTY29MAY2522500CE,61505
25800Put,Index Options,29-May-2025,Put,25800,1136.0,1136.0,850.0,921.65,775,NIFTY29MAY2525800PE,61792
26800Put,Index Options,29-May-2025,Put,26800,1900.0,1929.15,1900.0,1920.8,748,NIFTY29MAY2526800PE,61918
23600Call,Index Options,29-May-2025,Call,23600,1055.0,1359.8,1055.0,1284.7,733,NIFTY29MAY2523600CE,61549
23900Call,Index Options,29-May-2025,Call,23900,792.7,1075.95,767.3,992.45,602,NIFTY29MAY2523900CE,61561
21500Call,Index Options,29-May-2025,Call,21500,3234.8,3460.0,3234.8,3380.85,555,NIFTY29MAY2521500CE,61395
25350Put,Index Options,29-May-2025,Put,25350,704.6,728.8,455.0,514.75,542,NIFTY29MAY2525350PE,61770
25600Put,Index Options,29-May-2025,Put,25600,966.3,966.3,665.0,731.8,516,NIFTY29MAY2525600PE,61784
22000Call,Index Options,29-May-2025,Call,22000,2675.0,2951.45,2668.65,2881.2,478,NIFTY29MAY2522000CE,61485
24150Call,Index Options,29-May-2025,Call,24150,545.45,834.95,534.15,756.15,443,NIFTY29MAY2524150CE,61669
23700Call,Index Options,29-May-2025,Call,23700,970.05,1262.3,950.7,1188.95,413,NIFTY29MAY2523700CE,61553
23800Call,Index Options,29-May-2025,Call,23800,887.75,1163.8,851.55,1089.2,351,NIFTY29MAY2523800CE,61557
25700Put,Index Options,29-May-2025,Put,25700,1032.25,1058.05,761.45,830.8,287,NIFTY29MAY2525700PE,61788
25450Put,Index Options,29-May-2025,Put,25450,756.55,756.55,532.1,602.7,285,NIFTY29MAY2525450PE,61776
