23.05.2025,instrumentType,expiryDate,optionType,strikePrice,openPrice,highPrice,lowPrice,closePrice,volume,name,token
22500Put,Index Options,29-May-2025,Put,22500,2.55,2.95,1.95,2.15,168208,NIFTY29MAY2522500PE,61506
23950Put,Index Options,29-May-2025,Put,23950,25.0,29.85,15.8,17.75,164583,NIFTY29MAY2523950PE,61662
26300Call,Index Options,29-May-2025,Call,26300,1.75,1.95,1.4,1.55,164126,NIFTY29MAY2526300CE,61813
23400Put,Index Options,29-May-2025,Put,23400,7.8,7.85,5.0,5.55,163918,NIFTY29MAY2523400PE,61542
23100Put,Index Options,29-May-2025,Put,23100,4.0,4.8,3.3,3.6,139849,NIFTY29MAY2523100PE,61530
25950Call,Index Options,29-May-2025,Call,25950,4.0,6.7,2.9,3.45,135537,NIFTY29MAY2525950CE,61799
23850Put,Index Options,29-May-2025,Put,23850,21.45,22.55,12.6,14.2,135407,NIFTY29MAY2523850PE,61560
26050Call,Index Options,29-May-2025,Call,26050,3.25,4.55,2.2,2.6,128214,NIFTY29MAY2526050CE,61803
22000Put,Index Options,29-May-2025,Put,22000,1.9,2.3,1.3,1.5,125584,NIFTY29MAY2522000PE,61486
26700Call,Index Options,29-May-2025,Call,26700,1.75,1.75,1.1,1.4,115104,NIFTY29MAY2526700CE,61911
26600Call,Index Options,29-May-2025,Call,26600,1.55,1.65,1.15,1.35,112299,NIFTY29MAY2526600CE,61831
20500Put,Index Options,29-May-2025,Put,20500,1.5,1.5,0.8,0.9,111546,NIFTY29MAY2520500PE,61330
26400Call,Index Options,29-May-2025,Call,26400,1.8,1.95,1.3,1.45,104882,NIFTY29MAY2526400CE,61821
22900Put,Index Options,29-May-2025,Put,22900,3.2,4.0,2.45,2.9,102247,NIFTY29MAY2522900PE,61522
23650Put,Index Options,29-May-2025,Put,23650,11.0,13.55,8.0,8.85,98502,NIFTY29MAY2523650PE,61552
26150Call,Index Options,29-May-2025,Call,26150,2.6,3.1,1.65,1.9,98241,NIFTY29MAY2526150CE,61807
22800Put,Index Options,29-May-2025,Put,22800,3.0,3.5,2.1,2.55,97140,NIFTY29MAY2522800PE,61518
26350Call,Index Options,29-May-2025,Call,26350,1.65,1.85,1.25,1.45,95240,NIFTY29MAY2526350CE,61815
23750Put,Index Options,29-May-2025,Put,23750,15.5,17.25,10.0,11.25,94380,NIFTY29MAY2523750PE,61556
26250Call,Index Options,29-May-2025,Call,26250,2.15,2.35,1.5,1.75,79612,NIFTY29MAY2526250CE,61811
21000Put,Index Options,29-May-2025,Put,21000,1.35,1.65,1.1,1.2,78168,NIFTY29MAY2521000PE,61356
26750Call,Index Options,29-May-2025,Call,26750,1.25,1.6,1.1,1.35,75211,NIFTY29MAY2526750CE,61913
20400Put,Index Options,29-May-2025,Put,20400,1.05,1.2,0.75,0.8,70749,NIFTY29MAY2520400PE,61326
25100Put,Index Options,29-May-2025,Put,25100,467.25,510.0,284.6,327.7,64520,NIFTY29MAY2525100PE,61760
22700Put,Index Options,29-May-2025,Put,22700,3.2,3.35,2.05,2.35,62663,NIFTY29MAY2522700PE,61514
21500Put,Index Options,29-May-2025,Put,21500,1.8,1.8,1.3,1.45,61698,NIFTY29MAY2521500PE,61396
22600Put,Index Options,29-May-2025,Put,22600,2.55,3.1,1.95,2.2,59841,NIFTY29MAY2522600PE,61510
23250Put,Index Options,29-May-2025,Put,23250,5.0,5.95,4.0,4.35,59105,NIFTY29MAY2523250PE,61536
26650Call,Index Options,29-May-2025,Call,26650,1.9,1.9,1.15,1.4,57937,NIFTY29MAY2526650CE,61909
22400Put,Index Options,29-May-2025,Put,22400,3.5,3.5,1.7,1.85,56502,NIFTY29MAY2522400PE,61502
23550Put,Index Options,29-May-2025,Put,23550,9.2,10.55,6.6,7.45,56495,NIFTY29MAY2523550PE,61548
24550Call,Index Options,29-May-2025,Call,24550,236.0,495.35,236.0,416.55,55372,NIFTY29MAY2524550CE,61685
26550Call,Index Options,29-May-2025,Call,26550,1.6,1.7,1.15,1.4,48707,NIFTY29MAY2526550CE,61829
26450Call,Index Options,29-May-2025,Call,26450,1.8,2.25,1.25,1.45,48411,NIFTY29MAY2526450CE,61825
23350Put,Index Options,29-May-2025,Put,23350,11.4,11.4,4.7,5.25,44525,NIFTY29MAY2523350PE,61540
23450Put,Index Options,29-May-2025,Put,23450,7.0,8.5,5.45,6.1,44129,NIFTY29MAY2523450PE,61544
22300Put,Index Options,29-May-2025,Put,22300,2.4,2.7,1.6,1.8,40724,NIFTY29MAY2522300PE,61498
25200Put,Index Options,29-May-2025,Put,25200,585.5,597.3,346.3,397.5,39650,NIFTY29MAY2525200PE,61764
22850Put,Index Options,29-May-2025,Put,22850,3.15,3.85,2.3,2.65,37162,NIFTY29MAY2522850PE,61520
25050Put,Index Options,29-May-2025,Put,25050,481.2,481.2,257.05,296.2,36856,NIFTY29MAY2525050PE,61758
20800Put,Index Options,29-May-2025,Put,20800,1.45,1.55,0.75,0.95,35442,NIFTY29MAY2520800PE,61344
22950Put,Index Options,29-May-2025,Put,22950,4.5,4.5,2.65,3.0,34404,NIFTY29MAY2522950PE,61524
